PG,PG,SG,SG,SF,SF,PF,PF,C
99441-18393,99441-145335,99441-58460,99441-110337,99441-157822,99441-18338,99441-80808,99441-145339,99441-110325
99441-18393,99441-145335,99441-14498,99441-58460,99441-84702,99441-110337,99441-157822,99441-18338,99441-110325
99441-145337,99441-145335,99441-15636,99441-110337,99441-157822,99441-84694,99441-80808,99441-18338,99441-110325
99441-66113,99441-145335,99441-84702,99441-110337,99441-157822,99441-18338,99441-171770,99441-22541,99441-110325
99441-14498,99441-145335,99441-84667,99441-110337,99441-157822,99441-18338,99441-171770,99441-81621,99441-110325
99441-18393,99441-145335,99441-58460,99441-84702,99441-80808,99441-18338,99441-171770,99441-97263,99441-110325
99441-145327,99441-145335,99441-14498,99441-15636,99441-157822,99441-18338,99441-80808,99441-97263,99441-110325
99441-84680,99441-18393,99441-15636,99441-110337,99441-157822,99441-18338,99441-80808,99441-145339,99441-145322
99441-84667,99441-145335,99441-58460,99441-188412,99441-84702,99441-110337,99441-80808,99441-157822,99441-157839
99441-18393,99441-145335,99441-14498,99441-84667,99441-80808,99441-110337,99441-157822,99441-18338,99441-157839
99441-40201,99441-145335,99441-66113,99441-58460,99441-80808,99441-110337,99441-22541,99441-18338,99441-157839
99441-84680,99441-145335,99441-84667,99441-110337,99441-171770,99441-18338,99441-157822,99441-22541,99441-157839
99441-14523,99441-145335,99441-14498,99441-111273,99441-80808,99441-18338,99441-157822,99441-22541,99441-157839
99441-14498,99441-14523,99441-84702,99441-110337,99441-157822,99441-157847,99441-80808,99441-22541,99441-157839
99441-14498,99441-145335,99441-84667,99441-110337,99441-157822,99441-84702,99441-80808,99441-22541,99441-157839
99441-40201,99441-145335,99441-58460,99441-84667,99441-80808,99441-18338,99441-157822,99441-97263,99441-157839
99441-84680,99441-145335,99441-58460,99441-188412,99441-157822,99441-110337,99441-22541,99441-97263,99441-157839
99441-188412,99441-145335,99441-84667,99441-110337,99441-80808,99441-157822,99441-22541,99441-145339,99441-157908
99441-18393,99441-145335,99441-58460,99441-110337,99441-157847,99441-18338,99441-157822,99441-145539,99441-157908
99441-18393,99441-145335,99441-14498,99441-110337,99441-80808,99441-157847,99441-157822,99441-110316,99441-84714
