FanDuel Nickname,Fantasy Pros Nickname
P.J. Washington,P.J. Washington Jr.
Jabari Smith,Jabari Smith Jr.
Michael Porter,Michael Porter Jr.
Bruce Brown,Bruce Brown Jr.
Russell Westbrook,Russell Westbrook III
Jaime Jaquez,Jaime Jaquez Jr.
Tim Hardaway,Tim Hardaway Jr.
Derrick Jones,Derrick Jones Jr.
Wendell Carter,Wendell Carter Jr.
Kelly Oubre,Kelly Oubre Jr.
Craig Porter,Craig Porter Jr.
Troy Brown,Troy Brown Jr.
Marcus Morris,Marcus Morris Sr.
Gary Trent,Gary Trent Jr.
Nick Smith,Nick Smith Jr.
Brandon Boston,Brandon Boston Jr.
Jaren Jackson,Jaren Jackson Jr.
Bobby Portis,Bobby Portis Jr.
Trey Murphy,Trey Murphy III
Vince Williams,Vince Williams Jr.
Xavier Tillman,Xavier Tillman Sr.
Marvin Bagley,Marvin Bagley III
Andre Jackson,Andre Jackson Jr.
Kevin Knox,Kevin Knox II
GG Jackson,GG Jackson II
Dennis Smith,Dennis Smith Jr.
Dereck Lively,Dereck Lively II
Larry Nance,Larry Nance Jr.
